characterId,캐릭터명,캐릭터 생성 날짜,최고 레벨 달성 날짜,전직명,직업명,전/후,성장속도,성공여부
de88891f47919286ab1e1dac9cd8d3f4,고추명란젓,2023-07-12,2023-07-13,격투가(여),眞 스트리트파이터,후,2.0,실패
28066614e7796960ed52cf4685fa794c,아동무단투기,2023-07-11,2023-07-12,나이트,眞 카오스,후,2.0,실패
ee06c96534aba2abaef6bc54e0cee0a2,사케동매니아,2023-07-12,2023-07-13,거너(남),眞 런처,후,2.0,실패
2b28481d28297d9674a078374e7998a5,달개비,2023-04-27,2023-04-27,아처,眞 트래블러,전,1.0,성공
f2e3035ba06c2ef3e954370086832d8d,팡부수라양,2023-06-27,2023-07-12,귀검사(남),眞 아수라,전,16.0,실패
3981de0c2ccb826a1b224a3d0691580f,흥신소사람,2023-07-09,2023-07-09,마법사(여),眞 소환사,후,1.0,성공
47891b773e6360c4ad76ac0cb23f2fe4,특별한분,2023-07-09,2023-07-13,아처,眞 트래블러,후,5.0,실패
c9c8ba0dde6c66831b9fd79c59b648c3,트래블러창히,2023-07-04,2023-07-04,아처,眞 트래블러,후,1.0,성공
a7833ddbb3a90c8f521e80fc8fc148e4,코윈빌딩,2023-07-09,2023-07-10,귀검사(여),眞 데몬슬레이어,후,2.0,실패
9299a3bd8e7273bd20f552f72d694aca,초강력장창,2023-07-05,2023-07-05,마창사,眞 듀얼리스트,후,1.0,성공
12e5d15f77cba2daf6b22b094339ee3e,재명과함께춤,2023-07-03,2023-07-04,도적,眞 사령술사,후,2.0,실패
5ffa3f168a5c42c55f328586adf39a70,복숭앗빛,2023-05-27,2023-05-27,나이트,眞 카오스,전,1.0,성공
0428f17724d5ff22407e766d3721b3e0,스으발,2023-07-16,2023-07-17,거너(남),眞 레인저,후,2.0,실패
cb7e411ffeed4a46464efe9fc8604f9d,외않되외않데,2023-07-03,2023-07-04,귀검사(여),眞 블레이드,후,2.0,실패
5f78c471a7dc66ceb4db33ceb1e4021a,낮멍밤냥,2023-07-05,2023-07-07,프리스트(여),眞 크루세이더,후,3.0,실패
436d865dfd7ca03d540dfa7db6bb3e0d,ㄴㄴ;;,2023-07-10,2023-07-15,프리스트(여),眞 이단심판관,후,6.0,실패
cf209aa10dad9dc4d6ad4bd82e46ca26,벽돌스매쉬,2023-06-24,2023-06-29,격투가(여),眞 스트리트파이터,전,6.0,실패
fd99e8aea58d8cc8016551693f983b2a,소울브웅어,2023-05-28,2023-06-07,귀검사(남),眞 소울브링어,전,11.0,실패
c4474068f6fbd2c29332bf91c9fa8dad,시클크루,2023-07-14,2023-07-17,프리스트(여),眞 크루세이더,후,4.0,실패
