serverId,characterId,characterName,level,jobId,jobGrowId,jobName,jobGrowName
prey,6198466699d5c6909cf0d001be398a36,훠거거든,110,b9cb48777665de22c006fabaf9a560b3,618326026de1a1f1cfba5dbd0b8396e7,아처,眞 트래블러
prey,b619f56c1b5402252c88fe0aa775e6b3,홍지니어,110,ca0f0e0e9e1d55b5f9955b03d9dd213c,6d459bc74ba73ee4fe5cdc4655400193,격투가(남),眞 스트리트파이터
prey,868419d75172e39963083fd0fc4d41c8,차이나는모기,100,41f1cdc2ff58bb5fdc287be0db2a8df3,6d459bc74ba73ee4fe5cdc4655400193,귀검사(남),眞 버서커
prey,98e42e3cd97044d85181a8b54f92158b,잡아보입시다,86,ca0f0e0e9e1d55b5f9955b03d9dd213c,64bbd751c0fcae0e74758b871a2296c1,격투가(남),그랜드 마스터
siroco,12e3bb107bf3dc5ebbf1e918307632cc,나무대장,110,afdf3b989339de478e85b614d274d1ef,37495b941da3b1661bc900e68ef3b2c6,거너(남),眞 레인저
siroco,bdd8831840e137e6d171f5ce2278a3eb,은시토끼,110,a5ccbaf5538981c6ef99b236c0a60b73,92da05ec93fb43406e193ffb9a2a629b,마법사(남),眞 디멘션워커
siroco,62b71f0c70d993e05933d980c0f5cf0a,fdurehbv,74,1645c45aabb008c98406b3a16447040d,a427ec3e94087c64cb4144379c3a0d59,귀검사(여),리벨리온
siroco,30840abbd1aa94cc87b91a81b8ba0fac,크루세이하나,110,0c1b401bb09241570d364420b3ba3fd7,37495b941da3b1661bc900e68ef3b2c6,프리스트(여),眞 크루세이더
diregie,56fcadf38e4d9955da4a6830e82b4e4d,교회개이,110,986c2b3d72ee0e4a0b7fcfbe786d4e02,6d459bc74ba73ee4fe5cdc4655400193,총검사,眞 트러블 슈터
diregie,8eac5426c2fd1f3915f21e2ade8f5a55,진얼님,110,41f1cdc2ff58bb5fdc287be0db2a8df3,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(남),眞 아수라
diregie,b585eedf50a0cf1bfcc80824d4241e13,우지챠레후,110,b9cb48777665de22c006fabaf9a560b3,37495b941da3b1661bc900e68ef3b2c6,아처,眞 뮤즈
diregie,ac4316e72d361bb57ad41318a653d945,SIN스틸러,110,0c1b401bb09241570d364420b3ba3fd7,c9b492038ee3ca8d27d7004cf58d59f3,프리스트(여),眞 미스트리스
